,text,is_kelas
1.content,jokowi palestina tertekan statement kita keras,FALSE
2.content,izin properti hitungan jam jokowi urus izin sehari sudah kuno,FALSE
3.content,bahagianya santriwati puisi depan presiden dapat sepeda,FALSE
4.content,mensos khofifah tokoh politik wanita sukses era pemerintahan jokowi jk,FALSE
5.content,ulama jamaiyah batak muslim indonesia temui jokowi istana white supremacists,FALSE
6.content,kocok ulang kabinet jokowi menteri rugikan negara dinilai wajib dievaluasi,FALSE
7.content,konon tidak boleh cacimaki pemimpin presiden pemimpin okelah anggap sj pemimpin bolehnya doain ya doain bapak segera diganti baik,TRUE
8.content,kabarnya oom mau reshuffle kabinet perlu ditanyakan sering reshuffle orang tidak tepat atau tidak visi ya,TRUE
9.content,bapak jokowi presiden paling ringan tugasnya cuma wara wiri sana kemari hadirin berbagai acara,TRUE
10.content, ucap pemerintahan sby salah arah politisi jokowi justru makin nyungsep,TRUE
11.content,patung lilin jokowi hongkong kini kenakan kemeja batik,FALSE
12.content,jokowi cuma ngumbar janji mirip pas kampanye pilgub dki,TRUE
13.content,pernyataan jokowi mengenai utang imf salah,FALSE
14.content,kerja menko jaman jokowi berat ngurusin kerjaan presiden sementara presidennya jalan bagi sepeda,TRUE
15.content,ekonomi dki menurun era jokowi dki harus tanpa ahokdjarot,TRUE
16.content,soal kocok ulang kabinet indikator perlu diperhatikan jokowi,FALSE
17.content,apakah jokowi mengkhianati warga nahdatul ulama,TRUE
18.content,gara jokowi pendukungnya,TRUE
19.content,cara tarik pajak kendaraan gitu amat rakyat susah bagaimana tega,TRUE
20.content,bapak jokowi fullday hanya membuat kami lelah bukan membuat kami pintar,TRUE
21.content,mending urus ekonomi morat marit sesuai janji kampanyenya,TRUE
22.content,presiden jokowi himbau generasi muda waspada perang ideologi,FALSE
23.content,jokowi bangga prestasi bocah tahun hafidz al qur an tingkat dunia poskota news,FALSE
24.content,heran ya partai pendukung utama jokowi pdip nasdem tidak pernah komentar ttg teroris serang aniessandi,TRUE
25.content,rakyat kecewa presiden patung komen jokowi minta masyarakat tidak ributkan patung,TRUE
26.content, dibanggakan hasil revolusi mental era rezim sekarang,TRUE
27.content,tangis santriwati pecah saat berada dekat presiden jokowi,FALSE
31.content,negara kacau balau dl pendukungnya,TRUE
32.content, boleh hanya ributin ganti presiden eneg saya melihat jokowi,TRUE
33.content,sudahkah anda tipu jokowi hari,TRUE
34.content,bapak semoga diberikan solusi,FALSE
35.content,sumbawanesia jokowi susuri trans papua menteri susi jajal motor trail jalanan sumbawa,FALSE
36.content,presiden jokowi datang kabupaten jember,FALSE
37.content, fitnah pakdhe pasti bibit pki,FALSE
38.content,najwa shihab tanggapi isu dirinya menteri jokowi,FALSE
39.content,presiden jokowi ingatkan ancaman budaya asing malah bela patung china ya,TRUE
40.content, tim ekonomi kabinet jokowi mandul jokowinomics tumpul mirip gundul pacul,TRUE
41.content,doli kurnia dkk minta jokowi turun tangan bersihkan citra golkar,FALSE
42.content,sekolah tidak harus terapkan full day school jokowi mempersilakan sekolah sudah menerapkan program,FALSE
43.content,tahun dijajah belanda thn dijajah jepang tahun merdeka hampir tahun jokowi nyaris memporakporandakannya,TRUE
44.content,nama ibu jokowi diabadikan asrama ponpes jember,FALSE
45.content,demokrasi ala komunis tipu tipu,TRUE
46.content,pokoknya kita disuruh diam lihat kelakuan mereka makin rusak parah,TRUE
47.content,megawati orang sebut jokowi diktator harus bukti kompas tv,FALSE
48.content, pemuja jokowi ahokdjarot cobal cabul cobal cabul narkoba koruptor saya pansl saya ind mana sila apa diamalin,TRUE
50.content,silatnas tahun sekaligus kembali menegaskan dukungan kepada jokowi maju pilpres,FALSE
51.content,memang betul keadaan negriku bgini ber koar kenyataannya pancasila bhinekatunggalika dipasung,TRUE
52.content,kesal mega buruh ogah milih jokowi presiden,TRUE
53.content,senam pagi bersama mahasiswa jokowi nyelip barisan belakang,FALSE
54.content,sedih lihat pemerintahan mu bapak,TRUE
55.content,asal bukan jokowi,TRUE
56.content,bohong cebong apa kabar,TRUE
57.content,kasih recehan mbayar utang rezim jokowi stnk mati motor dah rusak dijual dipreteli spare part mau dikejar,TRUE
58.content, inilah amanat presiden tentang pembangunan sejatinya bertujuan menurunkan ketimpang,FALSE
59.content,jokowi dibilang diktator megawati berhadapan secara jantan beraninya bully medsos,FALSE
60.content, jokower ya dibayar brp min jokowi pake spatu jutaan tidak disebut,TRUE
61.content,reshuffle jilid timses jokowi,FALSE
62.content,presiden jokowi segera teken pemilu,FALSE
63.content,jokowi janji hapus ujian skripsi,FALSE
64.content,pemilu kita hentikan kegaduhan tidak pilih bapak jokowi,TRUE
65.content,mau pemilu merayu era jokowi honorer ormas islam terzolimi ayo pilih presiden pro honorer ormas islam kumpulkansuara,TRUE
66.content,mana berani jokowi,TRUE
67.content, pikiran hati masih sehat jangan pilih jokowi,TRUE
68.content,pas gubernur ngemengnya pres gampang sekalian nunggu ntar pensiun presiden br macetnya teratasi,TRUE
69.content,tepatnya raja ngibul,TRUE
70.content,pemerintah anti kritik,TRUE
71.content,akhir pekan presiden jokowi luncurkan program penguatan pendidikan pancasila,FALSE
72.content,cerita jokowi berkeringat salami relawan pendukung,FALSE
73.content,mari kita bongkar siapa jati diri jokowi sebenarnya,TRUE
74.content,waktu reshuffle hanya tuhan jokowi tahu,FALSE
75.content,jokowi minta masyarakat tidak ributkan patung,FALSE
76.content,mari sadarkan rakyat sang pendusta,TRUE
77.content,semoga pakdhe selalu sehat,FALSE
78.content,analisa ilmiah psikologi gibran jokowi vs agussylvi yudhoyono,FALSE
79.content,sekolah tidak gratis netizen makasih bapak jokowi salam gigit jari,TRUE
80.content,presiden jokowi hadir tengah festival musik wtf,FALSE
81.content,tampik acara musik pakde jokowi kembali menunjukkan kesaktiannya,FALSE
82.content,nama jongos china,TRUE
83.content, sudau berhubungan cukong tiongkok jokowi lemah tidak berdaya fix kasus lainnya,TRUE
84.content,banyak anak sekolah mengeluh akibat pulang sore,FALSE
85.content,ketika jokowi luluh berikan sepeda tanpa pertanyaan,FALSE
86.content,orangnya sibuk ngurusin kodok kambing,TRUE
87.content,makan indomie pake nasi adalah setiap warga negara bapak jokowi harus menjamin,FALSE
88.content,bil khusus jokowi makan ikan oon,TRUE
89.content,buka simposium presiden jokowi ingat masa pimpin solo,FALSE
90.content,kemesraan gibran jokowi agussylvi istana melalui,FALSE
91.content,jokowi titip program pemerintah para relawan,FALSE
92.content,presiden jokowi perintahkan kepala daerah siapkan bank tanah,FALSE
93.content,zaman rezim jokowi makin hari makin memperlihatkan sikapnya kontra islam,TRUE
94.content,jokowi tegaskan dirinya bukan diktator pengamat diktator bukan hanya soal muka soal kebijakan,TRUE
95.content,jokowi kehebatan gubernur sulsel,FALSE
96.content,tidak gaya seorang president merakyat karakter jiwa lbh baek sang mantan jokowi dua periode,FALSE
97.content,ckckck negeri tergadai,TRUE
98.content,jokowi asean menciptakan stabilitas ekonomi,FALSE
99.content,istana ungkap kegemaran jokowi makan ikan,FALSE
101.content, hadapan relawan jokowi tidak respons soal dukungan maju pilpres,FALSE
102.content, mikir bapak jokowi orang islam tidak ya tidak takut tuhan,TRUE
103.content,sudah undang undang dilanggar jokowi bidang ekonomi oleh salamudin daeng pelanggaran,TRUE
104.content,masyarakat minta jokowi periode masyarakat mau,TRUE
105.content,terharu tahun merdeka baru presiden jokowi perduli rakyat papua,FALSE
106.content,presiden jokowi stop mencela jangan bicara hoax ribut soal patung,FALSE
107.content,akun bayaran nasi kucing bungkus gratisan pro jokowi giring opini masyarakat,TRUE
108.content,jokowi capres boneka,TRUE
109.content,joko widodo nyepelein masalah jaminan kesehatan buruh,TRUE
110.content,ngerasa tidak berdosa ingkar janji dki jokowi kena kritik,TRUE
111.content,undang undang tentang penyelenggaraan pemilihan umum atau pemilu berlaku otomatis meski belum diteken oleh presiden jokowi,FALSE
112.content,indonesia harus merdeka dajal pki jokowi serta janda bau tanah pemilu datang,TRUE
113.content,amit amit ngakunya bela islam junjungannya cabul masih puja puja kayak tuhan,TRUE
114.content,penyelesaian lrt ternyata pake dana haji klau lrt pasti lebih banyak manfaatx aseng umat lain bukan umat islam,TRUE
115.content,bapak apakah bapak percaya sekolah negeri mengajarkan karakter pancasila islam ramah in thisera,TRUE
116.content, lebih gila ya zholimi umat islam mau ngembat dana haji sementara hasil rampokan cina garong blbi tidak dikejar hayoo om,TRUE
117.content,mafia cukong cina sembah bos reklamasi bos penista agama bos meikarta ujungnya mau ngembat dana haji umat,TRUE
118.content,saya enek melihat kelakuan aparar tutup mata kecebong main ciduk pendukung islam,TRUE
119.content,hina jokowi langsung ditangkap sementara ancam bunuh bebas melenggang,TRUE
120.content, umat islam buat tidak milih jokowi,TRUE
121.content, orang orang islam buat kaga milih jokowi,TRUE
122.content,foto agussylvi anak sby bersama anak jokowi mana tata krama mana ndeso,TRUE
123.content,selama pemerintahan jokowi umat islam merasa tertekan siar dibatasi demo ijin dipersulit waktu tentukan,TRUE
124.content,mungkin jokowi buat negara seperti ingin balas dendam negara umat islam dia diduga keturunan pki boyolali,TRUE
125.content,kita kaya ngarep banget dana haji umat islam dihutang sm rezim jokowi,TRUE
126.content,sedikit demi sedikit bapak menghcurkan generasi islam lbh tepat,TRUE
127.content,pakai sarung jokowi resmikan pembangunan masjid pondok putri ponpes nurul islam,FALSE
128.content,rakyat teriak sampai bikin aksi kamu tetap buat perppu ormas buat hajar ormas umat islam diktator,TRUE
129.content, representasi keagamaan china islam mana dibawa oleh siapa bukan asing,TRUE
130.content,saya pancasila tidak lantas anti asing aseng kenapa digiring kpd anti khilafah hrs jelaskan menepis stigma anti islam,TRUE
131.content,bapak jokowi bukan hanya diktator namun otoriter makin terkesan represif anti islam kebijakannya,TRUE
132.content,inilah puisi jokowi santriwati ponpes nurul islam,FALSE
133.content,saya pastikan tamat riwayat boneka china jokowi jika sampai ormas islam dibubar,TRUE
134.content,proyek pencitraan pilpres sangat tidak pantas ngembat dana haji umat islam selama dizholimi,TRUE
135.content,sebenar islam negara banyak seperti buih lautan apalagi tidak paham agamanya,TRUE
136.content,ancam tidak dukung jokowi pilpres pkb sebut jokowi tipu umat islam soal full day school via berita terkini,TRUE
137.content,wartawan senior memusuhi khilafah adalah penyesalan terbesar jokowi,TRUE
138.content,penghina merah putih dianggap biasa tahun bapak mau injak merah putih organisasi islam bubarkan anak pki anggota dpr,TRUE
139.content,smnjk negara pimpin umat islam tidak kasih ruang gerak sesuai janji tim buzersnya pilpres yl,TRUE
140.content, pendukungnya musuhi saat bukan teroris umat islam pribumi berseberangan,TRUE
141.content,pendukung ahokdjarot orang orang ahli maksiat munafik ngaku islam tidak mau sholat jadinya kafur,TRUE
