"","text","is_kelas"
"1.content","jokowi palestina tekan statement kita keras",FALSE
"2.content","izin properti hitung jam jokowi urus izin hari sudah kuno",FALSE
"3.content","bahagia santriwati puisi depan presiden dapat sepeda",FALSE
"4.content","mensos khofifah tokoh politik wanita sukses era pemerintahan jokowi jk",FALSE
"5.content","ulama jamaiyah batak muslim indonesia temu jokowi istana white supremacists",FALSE
"6.content","kocok ulang kabinet jokowi menteri rugi negara nilai wajib evaluasi",FALSE
"7.content","konon tidak boleh cacimaki pemimpin presiden pemimpin oke anggap sj pemimpin boleh doain ya doain bapak segera ganti baik",TRUE
"8.content","kabar oom mau reshuffle kabinet perlu tanya sering reshuffle orang tidak tepat atau tidak visi ya",TRUE
"9.content","bapak jokowi presiden paling ringan tugas cuma wara wiri sana kemari hadirin bagai acara",TRUE
"10.content"," ucap pemerintahan sby salah arah politis jokowi justru makin nyungsep",TRUE
"11.content","patung lilin jokowi hongkong kini kena kemeja batik",FALSE
"12.content","jokowi cuma ngumbar janji mirip pas kampanye pilgub dki",TRUE
"13.content","nyata jokowi kena utang imf salah",FALSE
"14.content","kerja menko jam jokowi berat ngurusin kerja presiden sementara presiden jalan bagi sepeda",TRUE
"15.content","ekonomi dki turun era jokowi dki harus tanpa ahokdjarot",TRUE
"16.content","soal kocok ulang kabinet indikator perlu hati jokowi",FALSE
"17.content","apakah jokowi khianat warga nahdatul ulama",TRUE
"18.content","gara jokowi dukung",TRUE
"19.content","cara tarik pajak kendara gitu amat rakyat susah bagaimana tega",TRUE
"20.content","bapak jokowi fullday hanya buat kami lelah bukan buat kami pintar",TRUE
"21.content","mending urus ekonomi morat marit suai janji kampanye",TRUE
"22.content","presiden jokowi himbau generasi muda waspada perang ideologi",FALSE
"23.content","jokowi bangga prestasi bocah tahun hafidz al qur an tingkat dunia poskota news",FALSE
"24.content","heran ya partai dukung utama jokowi pdip nasdem tidak pernah komentar ttg teroris serang aniessandi",TRUE
"25.content","rakyat kecewa presiden patung komen jokowi minta masyarakat tidak ribut patung",TRUE
"26.content"," bangga hasil revolusi mental era rezim sekarang",TRUE
"27.content","tangis santriwati pecah saat ada dekat presiden jokowi",FALSE
"28.content","hidup bapak maju indonesia",FALSE
"29.content","asli gaya bapak",FALSE
"30.content","ini citra positif cermin karakter presiden",FALSE
"31.content","negara kacau balau dl dukung",TRUE
"32.content"," boleh hanya ributin ganti presiden eneg saya lihat jokowi",TRUE
"33.content","sudah anda tipu jokowi hari",TRUE
"34.content","bapak moga berik solusi",FALSE
"35.content","sumbawanesia jokowi susur trans papua menteri sus jajal motor trail jalan sumbawa",FALSE
"36.content","presiden jokowi datang kabupaten jember",FALSE
"37.content"," fitnah pakdhe pasti bibit pki",FALSE
"38.content","najwa shihab tanggap isu diri menteri jokowi",FALSE
"39.content","presiden jokowi ingat ancam budaya asing malah bela patung china ya",TRUE
"40.content"," tim ekonomi kabinet jokowi mandul jokowinomics tumpul mirip gundul pacul",TRUE
"41.content","dol kurnia dkk minta jokowi turun tang bersih citra golkar",FALSE
"42.content","sekolah tidak harus terap full day school jokowi sila sekolah sudah terap program",FALSE
"43.content","tahun jajah belanda thn jajah jepang tahun merdeka hampir tahun jokowi nyaris memporakporandakannya",TRUE
"44.content","nama ibu jokowi abad asrama ponpes jember",FALSE
"45.content","demokrasi ala komunis tipu tipu",TRUE
"46.content","pokok kita suruh diam lihat laku mereka makin rusak parah",TRUE
"47.content","megawati orang sebut jokowi diktator harus bukti kompas tv",FALSE
"48.content"," pemuja jokowi ahokdjarot cobal cabul cobal cabul narkoba koruptor saya pansl saya ind mana sila apa diamalin",TRUE
"49.content","gigih bapak jokowi bangun infrastruktur mana takjub meski ekonomi dunia sedang tidak mudah p",FALSE
"50.content","silatnas tahun sekaligus kembali tegas dukung kepada jokowi maju pilpres",FALSE
"51.content","memang betul ada negriku bgini ber koar nyata pancasila bhinekatunggalika pasung",TRUE
"52.content","kesal mega buruh ogah milih jokowi presiden",TRUE
"53.content","senam pagi sama mahasiswa jokowi nyelip baris belakang",FALSE
"54.content","sedih lihat pemerintahan mu bapak",TRUE
"55.content","asal bukan jokowi",TRUE
"56.content","bohong cebong apa kabar",TRUE
"57.content","kasih receh mbayar utang rezim jokowi stnk mati motor dah rusak jual pretel spare part mau kejar",TRUE
"58.content"," ini amanat presiden tentang bangun sejati tuju turun timpang",FALSE
"59.content","jokowi bilang diktator megawati hadap cara jantan berani bully medsos",FALSE
"60.content"," jokower ya bayar brp min jokowi pake spatu juta tidak sebut",TRUE
"61.content","reshuffle jilid timses jokowi",FALSE
"62.content","presiden jokowi segera teken milu",FALSE
"63.content","jokowi janji hapus uji skripsi",FALSE
"64.content","milu kita henti gaduh tidak pilih bapak jokowi",TRUE
"65.content","mau milu rayu era jokowi honorer ormas islam terzolimi ayo pilih presiden pro honorer ormas islam kumpulkansuara",TRUE
"66.content","mana berani jokowi",TRUE
"67.content"," pikir hati masih sehat jangan pilih jokowi",TRUE
"68.content","pas gubernur ngemengnya pres gampang kalian nunggu ntar pensiun presiden br macet atas",TRUE
"69.content","tepat raja ngibul",TRUE
"70.content","pemerintah anti kritik",TRUE
"71.content","akhir pekan presiden jokowi luncur program kuat didik pancasila",FALSE
"72.content","cerita jokowi keringat salam relawan dukung",FALSE
"73.content","mari kita bongkar siapa jati diri jokowi benar",TRUE
"74.content","waktu reshuffle hanya tuhan jokowi tahu",FALSE
"75.content","jokowi minta masyarakat tidak ribut patung",FALSE
"76.content","mari sadar rakyat sang dusta",TRUE
"77.content","moga pakdhe selalu sehat",FALSE
"78.content","analisa ilmiah psikologi gibran jokowi vs agussylvi yudhoyono",FALSE
"79.content","sekolah tidak gratis netizen makasih bapak jokowi salam gigit jari",TRUE
"80.content","presiden jokowi hadir tengah festival musik wtf",FALSE
"81.content","tampik acara musik pakde jokowi kembali tunjuk sakti",FALSE
"82.content","nama jongos china",TRUE
"83.content"," sudau hubung cukong tiongkok jokowi lemah tidak daya fix kasus lain",TRUE
"84.content","banyak anak sekolah keluh akibat pulang sore",FALSE
"85.content","ketika jokowi luluh berik sepeda tanpa tanya",FALSE
"86.content","orang sibuk ngurusin kodok kambing",TRUE
"87.content","makan indomie pake nasi adalah tiap warga negara bapak jokowi harus jamin",FALSE
"88.content","bil khusus jokowi makan ikan oon",TRUE
"89.content","buka simposium presiden jokowi ingat masa pimpin solo",FALSE
"90.content","mesra gibran jokowi agussylvi istana lalu",FALSE
