,actual,prediction,teks
0,False,True,jokowi palestina tertekan statement kita keras
1,False,True,izin properti hitungan jam jokowi urus izin sehari sudah kuno
2,False,True,mensos khofifah tokoh politik wanita sukses era pemerintahan jokowi jk
3,False,True,ulama jamaiyah batak muslim indonesia temui jokowi istana white supremacists
4,True,False,bapak jokowi presiden paling ringan tugasnya cuma wara wiri sana kemari hadirin berbagai acara
5,False,True,pernyataan jokowi mengenai utang imf salah
6,True,False,kerja menko jaman jokowi berat ngurusin kerjaan presiden sementara presidennya jalan bagi sepeda
7,True,False,ekonomi dki menurun era jokowi dki harus tanpa ahokdjarot
8,False,True,soal kocok ulang kabinet indikator perlu diperhatikan jokowi
9,True,False,apakah jokowi mengkhianati warga nahdatul ulama
10,False,True,jokowi bangga prestasi bocah tahun hafidz al qur an tingkat dunia poskota news
11,True,False,rakyat kecewa presiden patung komen jokowi minta masyarakat tidak ributkan patung
12,True,False, boleh hanya ributin ganti presiden eneg saya melihat jokowi
13,False,True,bapak semoga diberikan solusi
14,False,True, fitnah pakdhe pasti bibit pki
15,False,True,najwa shihab tanggapi isu dirinya menteri jokowi
16,False,True,doli kurnia dkk minta jokowi turun tangan bersihkan citra golkar
17,False,True,sekolah tidak harus terapkan full day school jokowi mempersilakan sekolah sudah menerapkan program
18,False,True,nama ibu jokowi diabadikan asrama ponpes jember
19,False,True,megawati orang sebut jokowi diktator harus bukti kompas tv
20,False,True,senam pagi bersama mahasiswa jokowi nyelip barisan belakang
21,False,True,reshuffle jilid timses jokowi
22,False,True,presiden jokowi segera teken pemilu
23,False,True,jokowi janji hapus ujian skripsi
24,True,False,pas gubernur ngemengnya pres gampang sekalian nunggu ntar pensiun presiden br macetnya teratasi
25,False,True,waktu reshuffle hanya tuhan jokowi tahu
26,False,True,jokowi minta masyarakat tidak ributkan patung
27,False,True,analisa ilmiah psikologi gibran jokowi vs agussylvi yudhoyono
28,False,True,tampik acara musik pakde jokowi kembali menunjukkan kesaktiannya
29,False,True,banyak anak sekolah mengeluh akibat pulang sore
30,False,True,ketika jokowi luluh berikan sepeda tanpa pertanyaan
31,False,True,makan indomie pake nasi adalah setiap warga negara bapak jokowi harus menjamin
32,True,False,bil khusus jokowi makan ikan oon
33,False,True,buka simposium presiden jokowi ingat masa pimpin solo
34,False,True,presiden jokowi perintahkan kepala daerah siapkan bank tanah
35,False,True,jokowi kehebatan gubernur sulsel
36,False,True,tidak gaya seorang president merakyat karakter jiwa lbh baek sang mantan jokowi dua periode
37,False,True,jokowi asean menciptakan stabilitas ekonomi
38,True,False,sudah undang undang dilanggar jokowi bidang ekonomi oleh salamudin daeng pelanggaran
39,False,True,terharu tahun merdeka baru presiden jokowi perduli rakyat papua
40,False,True,undang undang tentang penyelenggaraan pemilihan umum atau pemilu berlaku otomatis meski belum diteken oleh presiden jokowi
41,True,False,indonesia harus merdeka dajal pki jokowi serta janda bau tanah pemilu datang
42,False,True,pakai sarung jokowi resmikan pembangunan masjid pondok putri ponpes nurul islam
43,True,False,wartawan senior memusuhi khilafah adalah penyesalan terbesar jokowi
