"","text","is_kelas"
"1.content","jokowi palestina tekan statement kita keras",FALSE
"2.content","izin properti hitung jam jokowi urus izin hari sudah kuno",FALSE
"3.content","bahagia santriwati puisi depan presiden dapat sepeda",FALSE
"4.content","mensos khofifah tokoh politik wanita sukses era pemerintahan jokowi jk",FALSE
"5.content","ulama jamaiyah batak muslim indonesia temu jokowi istana white supremacists",FALSE
"6.content","kocok ulang kabinet jokowi menteri rugi negara nilai wajib evaluasi",FALSE
"7.content","konon tidak boleh cacimaki pemimpin presiden pemimpin oke anggap sj pemimpin boleh doain ya doain bapak segera ganti baik",TRUE
"8.content","kabar oom mau reshuffle kabinet perlu tanya sering reshuffle orang tidak tepat atau tidak visi ya",TRUE
"9.content","bapak jokowi presiden paling ringan tugas cuma wara wiri sana kemari hadirin bagai acara",TRUE
"10.content"," ucap pemerintahan sby salah arah politis jokowi justru makin nyungsep",TRUE
"11.content","patung lilin jokowi hongkong kini kena kemeja batik",FALSE
"12.content","jokowi cuma ngumbar janji mirip pas kampanye pilgub dki",TRUE
"13.content","nyata jokowi kena utang imf salah",FALSE
"14.content","kerja menko jam jokowi berat ngurusin kerja presiden sementara presiden jalan bagi sepeda",TRUE
"15.content","ekonomi dki turun era jokowi dki harus tanpa ahokdjarot",TRUE
"16.content","soal kocok ulang kabinet indikator perlu hati jokowi",FALSE
"17.content","apakah jokowi khianat warga nahdatul ulama",TRUE
"18.content","gara jokowi dukung",TRUE
"19.content","cara tarik pajak kendara gitu amat rakyat susah bagaimana tega",TRUE
"20.content","bapak jokowi fullday hanya buat kami lelah bukan buat kami pintar",TRUE
"21.content","mending urus ekonomi morat marit suai janji kampanye",TRUE
"22.content","presiden jokowi himbau generasi muda waspada perang ideologi",FALSE
"23.content","jokowi bangga prestasi bocah tahun hafidz al qur an tingkat dunia poskota news",FALSE
"24.content","heran ya partai dukung utama jokowi pdip nasdem tidak pernah komentar ttg teroris serang aniessandi",TRUE
"25.content","rakyat kecewa presiden patung komen jokowi minta masyarakat tidak ribut patung",TRUE
"26.content"," bangga hasil revolusi mental era rezim sekarang",TRUE
"27.content","tangis santriwati pecah saat ada dekat presiden jokowi",FALSE
"28.content","negara kacau balau dl dukung",TRUE
"29.content"," boleh hanya ributin ganti presiden eneg saya lihat jokowi",TRUE
"30.content","sudah anda tipu jokowi hari",TRUE
"31.content","bapak moga berik solusi",FALSE
"32.content","sumbawanesia jokowi susur trans papua menteri sus jajal motor trail jalan sumbawa",FALSE
"33.content","presiden jokowi datang kabupaten jember",FALSE
"34.content","najwa shihab tanggap isu diri menteri jokowi",FALSE
"35.content","presiden jokowi ingat ancam budaya asing malah bela patung china ya",TRUE
"36.content"," tim ekonomi kabinet jokowi mandul jokowinomics tumpul mirip gundul pacul",TRUE
"37.content","dol kurnia dkk minta jokowi turun tang bersih citra golkar",FALSE
"38.content","sekolah tidak harus terap full day school jokowi sila sekolah sudah terap program",FALSE
"39.content","tahun jajah belanda thn jajah jepang tahun merdeka hampir tahun jokowi nyaris memporakporandakannya",TRUE
"40.content","nama ibu jokowi abad asrama ponpes jember",FALSE
"41.content","demokrasi ala komunis tipu tipu",TRUE
"42.content","pokok kita suruh diam lihat laku mereka makin rusak parah",TRUE
"43.content","megawati orang sebut jokowi diktator harus bukti kompas tv",FALSE
"44.content"," pemuja jokowi ahokdjarot cobal cabul cobal cabul narkoba koruptor saya pansl saya ind mana sila apa diamalin",TRUE
"45.content","silatnas tahun sekaligus kembali tegas dukung kepada jokowi maju pilpres",FALSE
"46.content","memang betul ada negriku bgini ber koar nyata pancasila bhinekatunggalika pasung",TRUE
"47.content","kesal mega buruh ogah milih jokowi presiden",TRUE
"48.content","senam pagi sama mahasiswa jokowi nyelip baris belakang",FALSE
"49.content","sedih lihat pemerintahan mu bapak",TRUE
"50.content","asal bukan jokowi",TRUE
"51.content","bohong cebong apa kabar",TRUE
"52.content","kasih receh mbayar utang rezim jokowi stnk mati motor dah rusak jual pretel spare part mau kejar",TRUE
"53.content","jokowi bilang diktator megawati hadap cara jantan berani bully medsos",FALSE
"54.content"," jokower ya bayar brp min jokowi pake spatu juta tidak sebut",TRUE
"55.content","reshuffle jilid timses jokowi",FALSE
"56.content","presiden jokowi segera teken milu",FALSE
"57.content","jokowi janji hapus uji skripsi",FALSE
"58.content","milu kita henti gaduh tidak pilih bapak jokowi",TRUE
"59.content","mau milu rayu era jokowi honorer ormas islam terzolimi ayo pilih presiden pro honorer ormas islam kumpulkansuara",TRUE
"60.content","mana berani jokowi",TRUE
"61.content"," pikir hati masih sehat jangan pilih jokowi",TRUE
"62.content","pas gubernur ngemengnya pres gampang kalian nunggu ntar pensiun presiden br macet atas",TRUE
"63.content","tepat raja ngibul",TRUE
"64.content","pemerintah anti kritik",TRUE
"65.content","akhir pekan presiden jokowi luncur program kuat didik pancasila",FALSE
"66.content","cerita jokowi keringat salam relawan dukung",FALSE
"67.content","mari kita bongkar siapa jati diri jokowi benar",TRUE
"68.content","waktu reshuffle hanya tuhan jokowi tahu",FALSE
"69.content","jokowi minta masyarakat tidak ribut patung",FALSE
"70.content","mari sadar rakyat sang dusta",TRUE
"71.content","analisa ilmiah psikologi gibran jokowi vs agussylvi yudhoyono",FALSE
"72.content","sekolah tidak gratis netizen makasih bapak jokowi salam gigit jari",TRUE
"73.content","presiden jokowi hadir tengah festival musik wtf",FALSE
"74.content","tampik acara musik pakde jokowi kembali tunjuk sakti",FALSE
"75.content","nama jongos china",TRUE
"76.content"," sudau hubung cukong tiongkok jokowi lemah tidak daya fix kasus lain",TRUE
"77.content","banyak anak sekolah keluh akibat pulang sore",FALSE
"78.content","ketika jokowi luluh berik sepeda tanpa tanya",FALSE
"79.content","orang sibuk ngurusin kodok kambing",TRUE
"80.content","makan indomie pake nasi adalah tiap warga negara bapak jokowi harus jamin",FALSE
"81.content","bil khusus jokowi makan ikan oon",TRUE
"82.content","buka simposium presiden jokowi ingat masa pimpin solo",FALSE
"83.content","mesra gibran jokowi agussylvi istana lalu",FALSE
"84.content","jokowi titip program pemerintah para relawan",FALSE
"85.content","presiden jokowi perintah kepala daerah siap bank tanah",FALSE
"86.content","zaman rezim jokowi makin hari makin lihat sikap kontra islam",TRUE
"87.content","jokowi tegas diri bukan diktator amat diktator bukan hanya soal muka soal bijak",TRUE
"88.content","jokowi hebat gubernur sulsel",FALSE
"89.content","tidak gaya orang president rakyat karakter jiwa lbh baek sang mantan jokowi dua periode",FALSE
