"","text","is_kelas"
"1.content","jokowi palestina tekan statement kita keras",0
"2.content","izin properti hitung jam jokowi urus izin hari sudah kuno",0
"3.content","bahagia santriwati puisi depan presiden dapat sepeda",0
"4.content","mensos khofifah tokoh politik wanita sukses era pemerintahan jokowi jk",0
"5.content","ulama jamaiyah batak muslim indonesia temu jokowi istana white supremacists",0
"6.content","kocok ulang kabinet jokowi menteri rugi negara nilai wajib evaluasi",0
"7.content","konon tidak boleh cacimaki pemimpin presiden pemimpin oke anggap sj pemimpin boleh doain ya doain bapak segera ganti baik",1
"8.content","kabar oom mau reshuffle kabinet perlu tanya sering reshuffle orang tidak tepat atau tidak visi ya",1
"9.content","bapak jokowi presiden paling ringan tugas cuma wara wiri sana kemari hadirin bagai acara",1
"10.content"," ucap pemerintahan sby salah arah politis jokowi justru makin nyungsep",1
"11.content","patung lilin jokowi hongkong kini kena kemeja batik",0
"12.content","jokowi cuma ngumbar janji mirip pas kampanye pilgub dki",1
"13.content","nyata jokowi kena utang imf salah",0
"14.content","kerja menko jam jokowi berat ngurusin kerja presiden sementara presiden jalan bagi sepeda",1
"15.content","ekonomi dki turun era jokowi dki harus tanpa ahokdjarot",1
"16.content","soal kocok ulang kabinet indikator perlu hati jokowi",0
"17.content","apakah jokowi khianat warga nahdatul ulama",1
"18.content","gara jokowi dukung",1
"19.content","cara tarik pajak kendara gitu amat rakyat susah bagaimana tega",1
"20.content","bapak jokowi fullday hanya buat kami lelah bukan buat kami pintar",1
"21.content","mending urus ekonomi morat marit suai janji kampanye",1
"22.content","presiden jokowi himbau generasi muda waspada perang ideologi",0
"23.content","jokowi bangga prestasi bocah tahun hafidz al qur an tingkat dunia poskota news",0
"24.content","heran ya partai dukung utama jokowi pdip nasdem tidak pernah komentar ttg teroris serang aniessandi",1
"25.content","rakyat kecewa presiden patung komen jokowi minta masyarakat tidak ribut patung",0
"26.content"," bangga hasil revolusi mental era rezim sekarang",1
"27.content","tangis santriwati pecah saat ada dekat presiden jokowi",0
"28.content","negara kacau balau dl dukung",1
"29.content"," boleh hanya ributin ganti presiden eneg saya lihat jokowi",1
"30.content","sudah anda tipu jokowi hari",1
"31.content","bapak moga berik solusi",0
"32.content","sumbawanesia jokowi susur trans papua menteri sus jajal motor trail jalan sumbawa",0
"33.content","presiden jokowi datang kabupaten jember",0
"34.content","najwa shihab tanggap isu diri menteri jokowi",0
"35.content","presiden jokowi ingat ancam budaya asing malah bela patung china ya",1
"36.content"," tim ekonomi kabinet jokowi mandul jokowinomics tumpul mirip gundul pacul",1
"37.content","dol kurnia dkk minta jokowi turun tang bersih citra golkar",0
"38.content","sekolah tidak harus terap full day school jokowi sila sekolah sudah terap program",0
"39.content","tahun jajah belanda thn jajah jepang tahun merdeka hampir tahun jokowi nyaris memporakporandakannya",1
"40.content","nama ibu jokowi abad asrama ponpes jember",0
"41.content","demokrasi ala komunis tipu tipu",1
"42.content","pokok kita suruh diam lihat laku mereka makin rusak parah",1
"43.content","megawati orang sebut jokowi diktator harus bukti kompas tv",0
"44.content"," pemuja jokowi ahokdjarot cobal cabul cobal cabul narkoba koruptor saya pansl saya ind mana sila apa diamalin",2
"45.content","silatnas tahun sekaligus kembali tegas dukung kepada jokowi maju pilpres",0
"46.content","memang betul ada negriku bgini ber koar nyata pancasila bhinekatunggalika pasung",1
"47.content","kesal mega buruh ogah milih jokowi presiden",1
"48.content","senam pagi sama mahasiswa jokowi nyelip baris belakang",0
"49.content","sedih lihat pemerintahan mu bapak",1
"50.content","asal bukan jokowi",1
"51.content","bohong cebong apa kabar",2
"52.content","kasih receh mbayar utang rezim jokowi stnk mati motor dah rusak jual pretel spare part mau kejar",1
"53.content","jokowi bilang diktator megawati hadap cara jantan berani bully medsos",0
"54.content"," jokower ya bayar brp min jokowi pake spatu juta tidak sebut",1
"55.content","reshuffle jilid timses jokowi",0
"56.content","presiden jokowi segera teken milu",0
"57.content","jokowi janji hapus uji skripsi",0
"58.content","milu kita henti gaduh tidak pilih bapak jokowi",1
"59.content","mau milu rayu era jokowi honorer ormas islam terzolimi ayo pilih presiden pro honorer ormas islam kumpulkansuara",1
"60.content","mana berani jokowi",1
"61.content"," pikir hati masih sehat jangan pilih jokowi",1
"62.content","pas gubernur ngemengnya pres gampang kalian nunggu ntar pensiun presiden br macet atas",1
"63.content","tepat raja ngibul",2
"64.content","pemerintah anti kritik",1
"65.content","akhir pekan presiden jokowi luncur program kuat didik pancasila",0
"66.content","cerita jokowi keringat salam relawan dukung",0
"67.content","mari kita bongkar siapa jati diri jokowi benar",1
"68.content","waktu reshuffle hanya tuhan jokowi tahu",0
"69.content","jokowi minta masyarakat tidak ribut patung",0
"70.content","mari sadar rakyat sang dusta",1
"71.content","analisa ilmiah psikologi gibran jokowi vs agussylvi yudhoyono",0
"72.content","sekolah tidak gratis netizen makasih bapak jokowi salam gigit jari",1
