,text,Class,screenName
5,"Jokowi: Kalau Palestina tertekan, statement kita keras https://t.co/3vplxOBNsK",0,suarabogorcom
7,"Izin Properti Hitungan Jam, Jokowi: Urus Izin Sehari Udah Kuno https://t.co/0A4jKkoLW5 https://t.co/pmxFpO3its",0,BatamForum
13,BAHAGIANYA SANTRIWATI INI. PUISI DI DEPAN PRESIDEN EH DAPAT SEPEDA LAGI https://t.co/yXlASzxiBD,0,dahlandahi
22,Mensos Khofifah Jadi Tokoh Politik Wanita Sukses Era Pemerintahan Jokowi � JK https://t.co/pAshrZFGvg,0,TangkasNews
31,"Ulama Jamaiyah Batak Muslim Indonesia Temui Jokowi di Istana
https://t.co/c65EaXTmpE
#AyoBerjalan White Supremacists",0,aryopenangsang_
37,"@info -  Kocok Ulang Kabinet Jokowi, Menteri yang Rugikan Negara Dinilai Wajib Dievaluasi",0,GEMAWAHYUH
40,"Konon g boleh cacimaki pemimpin, presiden pemimpin? Okelah anggap sj pemimpin. Bolehnya doain, ya doain pak @jokowi segera diganti yg > baik",1,kendoXirfane
43,"Kabarnya Oom @jokowi, mau reshuffle kabinet. Yang perlu ditanyakan sering reshuffle ini, karena org tidak tepat, atau ga ada visi ya?",1,belaIndonesiaID
50,Bapak Jokowi itu presiden paling ringan tugasnya. Cuma wara wiri ke sana kemari hadirin berbagai acara.,1,dulatips
74,"Ada yang Ucap Pemerintahan SBY Salah Arah, Politisi: Jokowi justru Makin Nyungsep https://t.co/DE1xmCWNLQ",1,anti_densus88
76,Patung Lilin Jokowi di Hongkong Kini Kenakan Kemeja Batik https://t.co/Fb9FS9rg31 https://t.co/jjJxVUjVem,0,detikcom
84,"jokowi cuma ngumbar janji, mirip pas kampanye PilGub DKI 2012 https://t.co/UrCCvTvuky #jokowiPENIPU",1,GayusBastian
103,Pernyataan Jokowi Mengenai Utang IMF Salah https://t.co/wwptDpSnRY,0,adila_permata34
105,"Kerja menko jaman jokowi berat sih, ngurusin kerjaan presiden sementara presidennya jalan bagi2 sepeda",1,verozika
108,EKONOMI DKI MENURUN DR ERA JOKOWI!!   https://t.co/JmcEE8hWoB DKI HARUS TANPA AHOK!! #HaramPilihAhok  #sibernews https://t.co/QBEQHWDzEm,1,tsamaradki1
110,"Soal Kocok Ulang Kabinet, 3 Indikator Ini Perlu Diperhatikan Jokowi https://t.co/809qjmqy5t",0,mynewsindo
111,Apakah Jokowi Mengkhianati Warga Nahdatul Ulama? https://t.co/zMuvfRMORk https://t.co/hsTKfSj95g,1,muelgetto
112,Gara2 jokowi dan pendukungnya di 2014 tuh... https://t.co/rZHl8LSKiX,1,maktal_212
113,@Iwandenig @Umnia77 @DivHumasPolri @jokowi Cara tarik pajak kendaraan kok gitu amat? Kalo rakyat yg lagi susah gimana ? Tega deh,1,Janabachri
116,pak jokowi fullday hanya membuat kami lelah bukan membuat kami pintar....,1,melanidwipuspi2
117,Mending @jokowi urus ekonomi yg morat marit sesuai janji kampanyenya https://t.co/QfkZSXjgre,1,maktal_212
123,Presiden Jokowi Himbau Generasi Muda Waspada Akan Perang Ideologi https://t.co/TfD5RarKfF #Berindo,0,TangkasNews
128,Jokowi Bangga Prestasi Bocah 7 Tahun Hafidz Al Qur`an Tingkat Dunia - Poskota News https://t.co/wdgDc6RDj2,0,ghielankonfire9
130,@Dahnilanzar @jokowi heran ya partai  pendukung utama jokowi ( PDIP dan NASDEM ) tdk pernah komentar ttg TERORIS yg serang BASWEDAN.,1,RamadanSumardi
142,"Rakyat kecewa presiden, patung aje kok di komen

Jokowi Minta Masyarakat Tak Ributkan�Patung https://t.co/76BHJgF8yM https://t.co/tmBKMGR2r8",1,parlianmd
149,@SiBonekaKayu @jokowi Ini kah yg Dibanggakan Hasil Revolusi Mental Era Rezim skarang ?? #PARAH #BEJAT  https://t.co/7L247TtXY4,1,S0N_2000
158,Tangis Santriwati Ini Pecah Saat Bisa Berada Dekat Presiden Jokowi - https://t.co/zto8Q2Ykqe https://t.co/KpWfyOUfDS,0,AEF8386
166,@liputan6dotcom Hidup pak @jokowi maju Indonesia ku,0,triekoe
167,@setkabgoid @jokowi Asli gaya pak @jokowi <ed><U+00A0><U+00BD><ed><U+00B1><U+008D>,0,de21man
169,@Spiritnkri Inilah citra (positif) yg mencerminkan karakter presiden @jokowi.,0,eswede_sr
171,"Negara jadi kacau balau, ini yg dl jd pendukungnya.... https://t.co/zDKZqpohTt",1,ghurudevisva
174,Yg boleh hanya ributin ganti presiden...eneg saya melihat jokowi https://t.co/p9WuERJX1B,1,maktal_212
177,"Sudahkah Anda Di Tipu Jokowi Hari Ini ?
@Jenderal08 @presiden2014com",1,RizkyNaruto5
187,Pak @jokowi smoga diberikan solusi <ed><U+00A0><U+00BD><ed><U+00B9><U+008F> https://t.co/VnhxiDhUIt,1,hendrikk168
201,"SUMBAWANESIA: Jokowi Susuri Trans Papua, Menteri Susi Jajal Motor Trail di Jalanan Sumbawa https://t.co/YTgywxripv",0,sumbawaheadline
218,Presiden Jokowi datang ke Kabupaten Jember https://t.co/Q9mFk51UtW,0,AtsilahJ
224,Yg fitnah pakdhe @jokowi pasti Bibit PKI https://t.co/pHP0fzzG1s,1,said_fazel
226,Najwa Shihab Tanggapi Isu Dirinya Jadi Menteri Jokowi https://t.co/UZSyZZ59xI,0,SayHeiYu
234,"Presiden Jokowi Ingatkan Ancaman BUDAYA ASING, Tapi Kok Malah Bela Patung China Ya? https://t.co/FyY6SvLfrw https://t.co/R3QmcQ34pp",1,suara
240,|&gt; Tim Ekonomi di Kabinet Jokowi Mandul: Jokowinomics Tumpul dan Mirip ''Gundul Pacul '' https://t.co/ODaciPIGbT,1,1nfoku
243,@CecepSyam  @AlKausar5 Doli Kurnia dkk Minta Jokowi Turun Tangan Bersihkan Citra Golkar #DukungPerpuOrmas,0,dadi_jengkol
258,@Yusrilihza_Mhd  @jokowi Sekolah Tak Harus Terapkan Full Day School. Jokowi mempersilakan sekolah yang sudah menerapkan program,0,AdiputriBin
260,"350 tahun dijajah belanda. 3,5 thn dijajah jepang. 69 tahun Merdeka dan hampir 3 tahun jokowi nyaris memporakporandakannya",1,SurYosodipuro
264,Nama Ibu Jokowi Diabadikan Jadi Asrama Ponpes di Jember https://t.co/GR214CKZ1m https://t.co/zRi7Wi0LhQ,0,BlastNewsID
268,@rafara_14 @lawanjokowi_ @jokowi Demokrasi ala komunis tipu tipu <ed><U+00A0><U+00BD><ed><U+00B8><U+0081>,1,kalla_sobari
269,@lawanjokowi_ @jokowi Pokoknya kita disuruh diam saja liat kelakuan mereka yg makin rusak parah,1,bajigurceleng
271,Megawati: Orang Sebut Jokowi Diktator Harus Bisa Buktikan - Kompas TV https://t.co/8twXT1WrRM,0,makassar_tv
277,Hehehe .. pemuja jokowi ahok .. cobal cabul cobal cabul .. narkoba .. koruptor .. sy pansl sy ind mana tuh? Sila apa yg diamalin?,1,FattahAbdullah2
281,"kegigihan pak Jokowi bangun infrastruktur di mana2 menakjubkan sekali..meski perekonomian dunia sedang tak mudah, p� https://t.co/Jm8zzUeOos",0,AmirTornado
288,@CecepSyam  @AlKausar5 Silatnas tahun ini sekaligus kembali menegaskan dukungan kepada jokowi maju dalam pilpres 2019. #Silatnas2Jokowi,1,dadi_jengkol
290,"Memang betul nih keadaan Negriku bgini, @jokowi Ber-koar2 tp kenyataannya Pancasila, Bhinekatunggalika dipasung. https://t.co/nqYhP5Ucq6",1,muthi_mutmainah
291,"kesal dengan mega, buruh ogah milih jokowi jadi presiden https://t.co/ZdpHnMMPXj",1,GayusBastian
296,"Senam Pagi Bersama Mahasiswa, Jokowi ""Nyelip"" di Barisan Belakang - https://t.co/esDwm8UdT0 https://t.co/SbaykTDAwm https://t.co/z1Ruy0gJce",0,FeedNews_id
305,Sedih lihat pemerintahan mu pak @jokowi @setkabgoid #Stop2019Jokowi https://t.co/VzzDvXs9ck,1,beraysayogi
307,@Zumpio asal bukan Jokowi,1,aihaibaraq
308,@rey231213 @Ni35a_ @jokowi Bong... Cebong Apa kabar?,1,kurniawanyoyok
311,"Kasih aja recehan utk mbayar utang rezim jokowi ini .. stnk mati krn motor dah rusak, dijual, dipreteli spare part .. mau dikejar?",1,FattahAbdullah2
316,"@CecepSyam  @AlKausar5 Sekali lagi, inilah amanat Presiden @jokowi tentang pembangunan yang sejatinya bertujuan untuk menurunkan ketimpang.",0,uma_faridah
321,"Jokowi Dibilang Diktator, Megawati: Berhadapan Secara Jantan, Beraninya Bully di Medsos https://t.co/uyYuHFXpaL https://t.co/f8pZdtfgGG",1,Garudakitapage
329,@detikcom @wolipop Hahaha .. @detikcom jokower nih yee ... dibayar brp min? Kok jokowi pake spatu yg jutaan itu gk disebut?  ... <ed><U+00A0><U+00BD><ed><U+00B8><U+0086><ed><U+00A0><U+00BD><ed><U+00B8><U+0086><ed><U+00A0><U+00BD><ed><U+00B8><U+0086>,0,FattahAbdullah2
331,Reshuffle Jilid III untuk Timses Jokowi di 2019 https://t.co/rCFhUbXJv7,0,inilahdotcom
