"","text","is_kelas"
"1.content","jokowi palestina tekan statement kita keras",0
"2.content","izin properti hitung jam jokowi urus izin hari sudah kuno",0
"3.content","bahagia santriwati puisi depan presiden dapat sepeda",0
"4.content","mensos khofifah tokoh politik wanita sukses era pemerintahan jokowi jk",0
"5.content","ulama jamaiyah batak muslim indonesia temu jokowi istana white supremacists",0
"6.content","kocok ulang kabinet jokowi menteri rugi negara nilai wajib evaluasi",1
"7.content","konon tidak boleh cacimaki pemimpin presiden pemimpin oke anggap sj pemimpin boleh doain ya doain bapak segera ganti baik",2
"8.content","kabar oom mau reshuffle kabinet perlu tanya sering reshuffle orang tidak tepat atau tidak visi ya",2
"9.content","bapak jokowi presiden paling ringan tugas cuma wara wiri sana kemari hadirin bagai acara",2
"10.content"," ucap pemerintahan sby salah arah politis jokowi justru makin nyungsep",1
"11.content","patung lilin jokowi hongkong kini kena kemeja batik",0
"12.content","jokowi cuma ngumbar janji mirip pas kampanye pilgub dki",2
"13.content","nyata jokowi kena utang imf salah",0
"14.content","kerja menko jam jokowi berat ngurusin kerja presiden sementara presiden jalan bagi sepeda",2
"15.content","ekonomi dki turun era jokowi dki harus tanpa ahokdjarot",2
"16.content","soal kocok ulang kabinet indikator perlu hati jokowi",1
"17.content","apakah jokowi khianat warga nahdatul ulama",2
"18.content","gara jokowi dukung",2
"19.content","cara tarik pajak kendara gitu amat rakyat susah bagaimana tega",2
"20.content","bapak jokowi fullday hanya buat kami lelah bukan buat kami pintar",2
"21.content","mending urus ekonomi morat marit suai janji kampanye",2
"22.content","presiden jokowi himbau generasi muda waspada perang ideologi",0
"23.content","jokowi bangga prestasi bocah tahun hafidz al qur an tingkat dunia poskota news",0
"24.content","heran ya partai dukung utama jokowi pdip nasdem tidak pernah komentar ttg teroris serang aniessandi",2
"25.content","rakyat kecewa presiden patung komen jokowi minta masyarakat tidak ribut patung",2
"26.content"," bangga hasil revolusi mental era rezim sekarang",2
"27.content","tangis santriwati pecah saat ada dekat presiden jokowi",0
"28.content","hidup bapak maju indonesia",1
"29.content","asli gaya bapak",1
"30.content","ini citra positif cermin karakter presiden",1
"31.content","negara kacau balau dl dukung",2
"32.content"," boleh hanya ributin ganti presiden eneg saya lihat jokowi",2
"33.content","sudah anda tipu jokowi hari",2
"34.content","bapak moga berik solusi",1
"35.content","sumbawanesia jokowi susur trans papua menteri sus jajal motor trail jalan sumbawa",0
"36.content","presiden jokowi datang kabupaten jember",0
"37.content"," fitnah pakdhe pasti bibit pki",2
"38.content","najwa shihab tanggap isu diri menteri jokowi",1
"39.content","presiden jokowi ingat ancam budaya asing malah bela patung china ya",2
"40.content"," tim ekonomi kabinet jokowi mandul jokowinomics tumpul mirip gundul pacul",1
"41.content","dol kurnia dkk minta jokowi turun tang bersih citra golkar",1
"42.content","sekolah tidak harus terap full day school jokowi sila sekolah sudah terap program",0
"43.content","tahun jajah belanda thn jajah jepang tahun merdeka hampir tahun jokowi nyaris memporakporandakannya",2
"44.content","nama ibu jokowi abad asrama ponpes jember",0
"45.content","demokrasi ala komunis tipu tipu",2
"46.content","pokok kita suruh diam lihat laku mereka makin rusak parah",2
"47.content","megawati orang sebut jokowi diktator harus bukti kompas tv",1
"48.content"," pemuja jokowi ahokdjarot cobal cabul cobal cabul narkoba koruptor saya pansl saya ind mana sila apa diamalin",3
"49.content","gigih bapak jokowi bangun infrastruktur mana takjub meski ekonomi dunia sedang tidak mudah p",1
"50.content","silatnas tahun sekaligus kembali tegas dukung kepada jokowi maju pilpres",1
"51.content","memang betul ada negriku bgini ber koar nyata pancasila bhinekatunggalika pasung",2
"52.content","kesal mega buruh ogah milih jokowi presiden",1
"53.content","senam pagi sama mahasiswa jokowi nyelip baris belakang",0
"54.content","sedih lihat pemerintahan mu bapak",2
"55.content","asal bukan jokowi",1
"56.content","bohong cebong apa kabar",3
"57.content","kasih receh mbayar utang rezim jokowi stnk mati motor dah rusak jual pretel spare part mau kejar",2
"58.content"," ini amanat presiden tentang bangun sejati tuju turun timpang",1
"59.content","jokowi bilang diktator megawati hadap cara jantan berani bully medsos",1
"60.content"," jokower ya bayar brp min jokowi pake spatu juta tidak sebut",2
"61.content","reshuffle jilid timses jokowi",1
"62.content","presiden jokowi segera teken milu",1
"63.content","jokowi janji hapus uji skripsi",0
"64.content","milu kita henti gaduh tidak pilih bapak jokowi",2
"65.content","mau milu rayu era jokowi honorer ormas islam terzolimi ayo pilih presiden pro honorer ormas islam kumpulkansuara",2
"66.content","mana berani jokowi",2
"67.content"," pikir hati masih sehat jangan pilih jokowi",2
"68.content","pas gubernur ngemengnya pres gampang kalian nunggu ntar pensiun presiden br macet atas",2
"69.content","tepat raja ngibul",3
"70.content","pemerintah anti kritik",2
"71.content","akhir pekan presiden jokowi luncur program kuat didik pancasila",0
"72.content","cerita jokowi keringat salam relawan dukung",1
