"","text","is_kelas"
"40.content","kpu gelar simulasi pemilu pertengahan agustus",0
"43.content","akhir agustus kpu gelar simulasi pencoblosan pemilu",0
"4.content","tidak salah lo ruu pemilu fadli zon tuding jokowi jegal dan takut hadapi prabowo di melalui",1
"5.content","kocak kabur dari rapat ruu pemilu fadli zon disoraki rame rame berita terbaru hari ini melalui",1
"17.content","ditersangkakan langsung beri dukungan ed haha haha haha birthday ed haha b haha perindo akan dukung jokowi di pemilu",1
"1.content","gerinda keluar dari angket kpk yang mengebu masinton pasaribu pdip dan fachri hamzah pantau dan tinggalkan partai pro koruptor di pemilu",2
"2.content","waaww dah jelas lho naga perindo akan dukung jokowi di pemilu",2
"3.content","ada yang mencla mencle di pemilu haha itu lagi itu lagi saranku jangan itu lagi yang dimajukan saya mau pemimpin yang segar ide ilmunya",2
"6.content","kelompoknya partai yang didukungnya tidak pernah memenangkan pemilu tetapi merasa yakin akan memenangkan pemilu haha ora isin",2
"7.content","adanya perubahan sikap partai perindo ayo bahas soal modus penguasa utk hadapi kondisi jelang pemilu serentak yang mau nyimak rt n like",2
"8.content","wajar saja parpol baru dg figure yang take disukai publik perlu dompleng utk dpt suara parlemen di pemilu",2
"10.content","sekecil apa pun isu yang sedang rame di ina akan selalu di goreng para politisi rival bapak de demi pemilu",2
"11.content","saat mantan sby nyapress uud pemilu kan pt tetapi saat bapak jokowi mau nyapress lagi haha mintanya itu namanya apa tweeps",2
"12.content","intinya mereka membuat issue jokowi anti agama pro china pro hutang menjadikan mereka pemenang dalam pemilu dan mengalahkan jokowi",2
"13.content","siap hutang ri oleh rejim koplak siap di glontor pemilu",2
"14.content","bneran ini kesandra kasus ht gpp makin kliatan mana musuh mana lawan ed haha haha haha birthday ed haha b haha haha",2
"15.content","pura pura dukung bapak jokowi supaya keciprat suara saat pemilu kalau serius dukung bapak jokowi sebaiknya setelah hasil pemilu legislatif",2
"9.content","karena dana cukong untuk pemilu mungkin ed haha haha haha birthday ed haha b haha ed haha haha haha birthday ed haha b haha",3
