"","text","is_kelas"
"40.content","kpu gelar simulasi milu tengah agustus",0
"43.content","akhir agustus kpu gelar simulasi coblos milu",0
"4.content","tidak salah lo ruu milu fadli zon tuding jokowi jegal takut hadap prabowo lalu",1
"5.content","kocak kabur rapat ruu milu fadli zon sorak rame rame berita baru hari lalu",1
"17.content","sangkak langsung beri dukung perindo dukung jokowi milu",1
"1.content","gerinda keluar angket kpk bu masinton pasaribu pdip fachri hamzah pantau tinggal partai pro koruptor milu",2
"2.content","waaww dah jelas naga perindo dukung jokowi milu",2
"3.content"," mencla mencle milu saran jangan maju saya mau pemimpin segar ide ilmu",2
"6.content","kelompok partai dukung tidak pernah menang milu rasa yakin menang milu ora isin",2
"7.content","ada ubah sikap partai perindo ayo bahas soal modus kuasa hadap kondisi jelang milu rentak mau nyimak n",2
"8.content","wajar parpol baru figure take suka publik perlu dompleng dpt suara parlemen milu",2
"10.content","kecil apa isu sedang rame ina selalu goreng para politis rival bapak de demi milu",2
"11.content","saat mantan sby nyapress uud milu pt saat bapak jokowi mau nyapress minta nama apa tweeps",2
"12.content","inti mereka buat issue jokowi anti agama pro china pro hutang jadi mereka menang milu alah jokowi",2
"13.content","siap hutang r oleh rejim koplak siap glontor milu",2
"14.content","bneran kesandra kasus ht gpp makin kliatan mana musuh mana lawan",2
"15.content","pura pura dukung bapak jokowi supaya ciprat suara saat milu serius dukung bapak jokowi baik setelah hasil milu legislatif",2
"9.content"," dana cukong milu mungkin",3
