"","text","is_kelas"
"45.content","kpu akan gelar simulasi pencoblosan pemilu",0
"46.content","anggaran verifikasi parpol peserta pemilu rp miliar",0
"47.content","kpu sebut kebutuhan kotak suara pemilu mencapai tiga juta kotak",0
"48.content","pemekaran daerah dilakukan paska pemilu",0
"49.content","pemekaran daerah otonomi baru akan dibuka kembali usai pemilu",0
"52.content","kpu pemilu butuh juta kotak suara",0
"77.content","kenapa prabowo tidak memenangkan pemilu padahal jomblo di indonesia cukup banyak apa jadinya kalau jomblos dipimpin oleh jomblo",0
"90.content","sangat tidak nyambung anda tau tidak pemilu kemaren saya tidak milih sby namun saya milih kamu",0
"23.content","nonton metro tv one sama kompas lagi haha ed haha haha haha birthday ed haha b haha ed haha haha haha birthday ed haha b haha mulai ngumpulin tenaga buat mikir pemilu",1
"30.content","pdip bukan pki asal tidak langgar haha konstitusi rakyat dalam pemilu",1
"31.content","gerindra sindir pdip soal haha pemilu",1
"33.content","mau usung ibu ani pengamat hendri satrio menilai ed haha haha haha birthday ed haha b haha c ani yudhoyono tidak memiliki kan haha maju sbg capres pemilu",1
"41.content","jika ruu pemilu ditandatangani sebelum ada kontrak politik pernyataan tertulis pdip utk usung jokowi sbg capres peluang jokowi tipis",1
"42.content","punya program merakyat partai perindo tangsel siap bersaing di pemilu",1
"44.content","ini alasan perindo pertimbangkan jokowi sebagai capres",1
"50.content","polemik kotak suara transparan untuk pemilu",1
"51.content","ini tiga anggota panwaslu tangsel di pemilu",1
"53.content","pemilu hanura sulsel targetkan lima besar",1
"70.content","perindo haha jokowi ppp sindir keikusertaan di pemilu",1
"76.content","perindo akan dukung jokowi di pemilu",1
"82.content","sby dan prabowo bahas haha pemilu melalui",1
"93.content","gandeng fpi dan hti suara pbb bisa meroket di pemilu",1
"16.content","saya kira tidak pulg lebih bagus dari pd pulg bikin gaduh lagi ntr ada yang bayar bikin gaduh lagi di pemilu",2
"18.content","habisi semuanya di pemilu",2
"19.content","bahkan budiman masih bermimpi brsma pdip nya yang nyata anjlok elektabilitas nya terbukti pilkada bru ini gmbran dari pemilu nanti",2
"20.content","bud msak dah lupa dgn pilkada bru ini hmpir ksluruhan calon yang diusung pdip haha itu sbuah gmbaran pd pemilu nanti mntan soldritas",2
"21.content","biasalah haha menjatuhkan pdip dalam pemilu",2
"22.content","kalau apoy didiamkan hanya karena minta maaf pilkada jawa dan pemilu akan jadi perang hujatan hukum harus mencegahnya",2
"24.content","kenapa padahal pemilu kalau kampanye kyk ht bowo juga tidak sanggup makanya pake kampanye receh di sosmed cara sby",2
"25.content","pemilu dahulu saya respect respon positif gerindra bahkan kagum namun sekarang setelah lihat orang didalamnya gitu mungkin bye",2
"26.content","kemaren belum bisa ikut pemilu bupati ntar sudah calonin jadi pasukan capres pencitraan haha d",2
"27.content","jadi fix nih say tidak to pbb di pemilu",2
"28.content","pdip tempat ngumpul kaum palu arit dan pendukung zionis wajib dibenamkan di pilkada dan pemilu",2
"29.content","takut kalah bagaimana kalah ya kalah ini kan nanti kalau pemilu presiden selanjutnya juga dipake kalau gerinda menag nanti cayalah dia dkng",2
"32.content","tidak usah dipilih di pemilu",2
"34.content","parpol tidak punya kaderisasi fulus apa lagi program masih percaya mereka ed haha haha haha be ed haha b haha haha cc",2
"35.content","ligu bisa ditipu pencitraan sekarang pencitraannya dah nasi kebkran jnggt hdpi pemilu sokan otoriter haha",2
"36.content","pantesan ngotot pt karena udsh yakin tidak bakalan ada yang milih lagi di pemilu",2
"37.content","kata yang kebelet jadi presiden pt pemilu tidak bs dipakai di pemilu berarti capres yang gagal di juga tidak boleh dipake di",2
"38.content","ini pasti ahoker kotakkotak yang masih tetap bodo tidak tahu pemilu serentak",2
"39.content","ya biarkan mereka bermain dagelan kita hukum semua di pilkada pemilu legislatif dan pilpres jangan pilih mereka lagi",2
"54.content","giliran mantan presiden pernah capres berlaku haha pemilu haha bapak jokowi mau kami calonkan kembali priode haha pada takut mintanya",2
"55.content","jokowi capres boneka",2
"56.content","joko widodo nyepelein masalah jaminan kesehatan buruh",2
"57.content","pdip sebagai pemenang pemilu saja gagal haha jadi ketua mpr dan dpr apakah umat islam dan pribumi diuntungkan dengan kekuasaan jokowi ini",2
"58.content","ngerasa tidak berdosa ingkar janji di dki jokowi kena kritik",2
"59.content","samakan presidential threshold seperti pemilu dan jokowi terlihat ngawur",2
"60.content","haha salah kamu pendukung bapak jokowi jt makanya menang pemilu",2
"62.content","banyak korban ham dukung bapak waktu pemilu bahkan di papua bapak seakan meninggalkan mereka sekarang",2
"63.content","hmpir thn belum tuntaskan kasus plggaran ham kalau mau pemilu angkat kasus ham lagi kesannya kasus ham cuma utk serang lawan politik sj",2
"64.content","kesimpulan sementara haha pemilu jadi bumerang bagi jokowi teken tidak teken tidak teken tidak teken jkwi sulit maju capres lagi",2
"65.content","teken haha pemilu akan jadi kuburan politik buat jokowi kenapa tidak dari awal dipertimbangkan masak kenapa bisa kena jebakan betmen pdip",2
"66.content","ruu pemilu adalah simalakama buat jokowi diteken salah tidak diteken lebih salah gara kpk lamban tidak mampu ancam megawati jadi tsk",2
"67.content","jokowi berlomba dgn waktu menunda teken ruu pemilu terlalu lama akan timbul krisis politik penentang haha pemilu sudah tidak sabar gugat haha mk",2
"68.content","jokowi tidak punya pilihan jika jkwi tolak teken ruu pemilu haha bs dimakzulkan karena batalkan ruu yang diajukannya sendiri senjata makan tuan",2
"69.content","jokowi telah kena jebakan betmen pdip mendukung ruu pemilu cq pt berbasis pemilu berakibat fatal posisi tawar jokowi rendah",2
"71.content","janjinya mau pecat semua kader yang korup tetapi faktanya padahal jelang pemilu pun sudah kader bagaimana ini partai bapak cc",2
"72.content","lalu dari mana logikanya pasca pemilu abstain kini sudah menjadi tersangka berharap dibebaskan karena dukung",2
"73.content","akun bayaran nasi kucing bungkus gratisan pro jokowi giring opini masyarakat",2
"75.content","ternyata ada juga makhluk yang tidak paham haha pemilu yang baru selain saya kira cuma si nganu doang yang tidak paham",2
"79.content","yang selalu diulang tiap jelang pemilu pdip pki pelanggaran ham upaya kudeta prabowo twit lama naik haha permukaan via screencap",2
"81.content","berita utama prabowo haha pemilu lelucon politik menipu rakyat ditertawakan sejarah",2
"83.content","lp dia yang buat haha utk pemilu bgt dia butuh utk pertahankan dinasti penerusny wapres klabakan sendiri",2
