"","text","is_kelas"
"45.content","kpu gelar simulasi coblos milu",0
"46.content","anggar verifikasi parpol serta milu rp miliar",0
"47.content","kpu sebut butuh kotak suara milu capai tiga juta kotak",0
"48.content","mekar daerah laku paska milu",0
"49.content","mekar daerah otonomi baru buka kembali usai milu",0
"52.content","kpu milu butuh juta kotak suara",0
"77.content","kenapa prabowo tidak menang milu padahal jomblo indonesia cukup banyak apa jadi jomblos pimpin oleh jomblo",0
"90.content","sangat tidak nyambung anda tau tidak milu kemaren saya tidak milih sby namun saya milih kamu",0
"23.content","nonton metro tv one kompas mulai ngumpulin tenaga buat mikir milu",1
"30.content","pdip bukan pki asal tidak langgar konstitusi rakyat milu",1
"31.content","gerindra sindir pdip soal milu",1
"33.content","mau usung ibu ani amat hendri satrio nilai ani yudhoyono tidak milik maju sbg capres milu",1
"41.content","jika ruu milu ditandatangani belum kontrak politik nyata tulis pdip usung jokowi sbg capres uang jokowi tipis",1
"42.content","punya program rakyat partai perindo tangsel siap saing milu",1
"44.content"," alas perindo timbang jokowi bagai capres",1
"50.content","polemik kotak suara transparan milu",1
"51.content"," tiga anggota panwaslu tangsel milu",1
"53.content","milu hanura sulsel target lima besar",1
"70.content","perindo jokowi ppp sindir keikusertaan milu",1
"76.content","perindo dukung jokowi milu",1
"82.content","sby prabowo bahas milu lalu",1
"93.content","gandeng fpi hti suara pbb roket milu",1
"16.content","saya kira tidak pulg lebih bagus pulg bikin gaduh ntr bayar bikin gaduh milu",2
"18.content","habis semua milu",2
"19.content","bahkan budiman masih mimpi brsma pdip nyata anjlok elektabilitas bukti pilkada bru gmbran milu nanti",2
"20.content","bud msak dah lupa pilkada bru hmpir ksluruhan calon usung pdip sbuah gmbaran milu nanti mntan soldritas",2
"21.content","biasa jatuh pdip milu",2
"22.content"," apoy diam hanya minta maaf pilkada jawa milu perang hujat hukum harus cegah",2
"24.content","kenapa padahal milu kampanye kyk ht bowo tidak sanggup makanya pake kampanye receh sosmed cara sby",2
"25.content","milu dahulu saya respect respon positif gerindra bahkan kagum namun sekarang setelah lihat orang dalam gitu mungkin bye",2
"26.content","kemaren belum ikut milu bupati ntar sudah calonin pasuk capres citra",2
"27.content"," fix say tidak to pbb milu",2
"28.content","pdip tempat ngumpul kaum palu arit dukung zionis wajib benam pilkada milu",2
"29.content","takut kalah bagaimana kalah ya kalah nanti milu presiden lanjut dipake gerinda menag nanti cayalah dia dkng",2
"32.content","tidak usah pilih milu",2
"34.content","parpol tidak punya kaderisasi fulus apa program masih percaya mereka be",2
"35.content","ligu tipu citra sekarang citra dah nasi kebkran jnggt hdpi milu sok otoriter",2
"36.content","pantesan ngotot pt udsh yakin tidak bakal milih milu",2
"37.content","kata kebelet presiden pt milu tidak bs pakai milu arti capres gagal tidak boleh dipake",2
"38.content"," pasti ahoker kotakkotak masih tetap bodo tidak tahu milu rentak",2
"39.content","ya biar mereka main dagel kita hukum semua pilkada milu legislatif pilpres jangan pilih mereka",2
"54.content","gilir mantan presiden pernah capres berlaku milu bapak jokowi mau kami calon kembali priode takut minta",2
"55.content","jokowi capres boneka",2
"56.content","joko widodo nyepelein masalah jamin sehat buruh",2
"57.content","pdip bagai menang milu gagal ketua mpr dpr apakah umat islam pribumi untung kuasa jokowi",2
"58.content","ngerasa tidak dosa ingkar janji dki jokowi kena kritik",2
"59.content","samak presidential threshold seperti milu jokowi lihat ngawur",2
"60.content"," salah kamu dukung bapak jokowi jt makanya menang milu",2
"62.content","banyak korban ham dukung bapak waktu milu bahkan papua bapak akan tinggal mereka sekarang",2
"63.content","hmpir thn belum tuntas kasus plggaran ham mau milu angkat kasus ham kesan kasus ham cuma serang lawan politik sj",2
"64.content","simpul sementara milu bumerang bagi jokowi teken tidak teken tidak teken tidak teken jkwi sulit maju capres",2
"65.content","teken milu kubur politik buat jokowi kenapa tidak awal timbang masak kenapa kena jebak betmen pdip",2
"66.content","ruu milu adalah simalakama buat jokowi teken salah tidak teken lebih salah gara kpk lamban tidak mampu ancam megawati tsk",2
"67.content","jokowi lomba waktu tunda teken ruu milu lalu lama timbul krisis politik tentang milu sudah tidak sabar gugat mk",2
"68.content","jokowi tidak punya pilih jika jkwi tolak teken ruu milu bs makzul batal ruu ajuk sendiri senjata makan tuan",2
"69.content","jokowi telah kena jebak betmen pdip dukung ruu milu cq pt basis milu akibat fatal posisi tawar jokowi rendah",2
"71.content","janji mau pecat semua kader korup fakta padahal jelang milu sudah kader bagaimana partai bapak",2
"72.content"," mana logika pasca milu abstain kini sudah jadi sangka harap bebas dukung",2
"73.content","akun bayar nasi kucing bungkus gratis pro jokowi giring opini masyarakat",2
"75.content","nyata makhluk tidak paham milu baru selain saya kira cuma nganu tidak paham",2
"79.content"," selalu ulang tiap jelang milu pdip pki anggar ham upaya kudeta prabowo twit lama naik muka via screencap",2
"81.content","berita utama prabowo milu lelucon politik tipu rakyat tawak sejarah",2
"83.content","lp dia buat milu bgt dia butuh tah dinasti penerusny wapres klabakan sendiri",2
"84.content","biasa sudah dekat milu para antek mulai gelisah cari cari masalah sudah clear tahun bahwa bapak pensiun",2
"86.content","itu panasbung jari lebih cepat otak palagi dapat jatah nasbung tang lebih cepat bayang",2
"87.content","ya iya panasbung kampret qiqiqjqiqiqiqiqi",2
"88.content"," pki mana om orang cuma goreng panasbung",2
"89.content","nafsu banget ingin kuasa milu buat saat sby kuasa tetap rakyat sudah cerdas pilih pemimpinnya",2
"91.content","hasil sby klaim milu era sby dipake pt gilir hutang nyalahin masa",2
"92.content","mau dbawa kmana pbb ambil simpati hti fpi atau memamfaatkannya dulang suara milu nanti bubar pula lo",2
"61.content","wong cilik hanya milu pilpres setelah modar porah",3
"74.content"," tidak paham milu baru apalagi cuma cebong macem",3
"78.content","hajar ndan jangan kasih kendor tu cecunguk mereka tahu diri jangan sok plng jago",3
"80.content","mau milu cerita pemberhentian prabowo dasar cebong",3
"85.content","nyata nyali tidak sbesar bacot kliatan bngt kualitas persis panasbung",3
