,actual,prediction,teks
0,0,1.0,jokowi palestina tekan statement kita keras
1,0,1.0,izin properti hitung jam jokowi urus izin hari sudah kuno
2,0,1.0,bahagia santriwati puisi depan presiden dapat sepeda
3,0,1.0,mensos khofifah tokoh politik wanita sukses era pemerintahan jokowi jk
4,0,1.0,ulama jamaiyah batak muslim indonesia temu jokowi istana white supremacists
5,2,1.0,bapak jokowi presiden paling ringan tugas cuma wara wiri sana kemari hadirin bagai acara
6,1,2.0, ucap pemerintahan sby salah arah politis jokowi justru makin nyungsep
7,0,1.0,patung lilin jokowi hongkong kini kena kemeja batik
8,2,1.0,jokowi cuma ngumbar janji mirip pas kampanye pilgub dki
9,0,2.0,nyata jokowi kena utang imf salah
10,2,1.0,kerja menko jam jokowi berat ngurusin kerja presiden sementara presiden jalan bagi sepeda
11,2,1.0,ekonomi dki turun era jokowi dki harus tanpa ahokdjarot
12,2,1.0,apakah jokowi khianat warga nahdatul ulama
13,2,1.0,gara jokowi dukung
14,2,1.0,cara tarik pajak kendara gitu amat rakyat susah bagaimana tega
15,2,1.0,bapak jokowi fullday hanya buat kami lelah bukan buat kami pintar
16,2,1.0,mending urus ekonomi morat marit suai janji kampanye
17,0,1.0,presiden jokowi himbau generasi muda waspada perang ideologi
18,0,1.0,jokowi bangga prestasi bocah tahun hafidz al qur an tingkat dunia poskota news
19,2,0.0,rakyat kecewa presiden patung komen jokowi minta masyarakat tidak ribut patung
20,0,1.0,tangis santriwati pecah saat ada dekat presiden jokowi
21,1,2.0,hidup bapak maju indonesia
22,2,1.0,negara kacau balau dl dukung
23,2,1.0,sudah anda tipu jokowi hari
24,0,1.0,sumbawanesia jokowi susur trans papua menteri sus jajal motor trail jalan sumbawa
25,0,1.0,presiden jokowi datang kabupaten jember
26,2,1.0, fitnah pakdhe pasti bibit pki
27,2,1.0,presiden jokowi ingat ancam budaya asing malah bela patung china ya
28,0,1.0,sekolah tidak harus terap full day school jokowi sila sekolah sudah terap program
29,2,1.0,tahun jajah belanda thn jajah jepang tahun merdeka hampir tahun jokowi nyaris memporakporandakannya
30,0,1.0,nama ibu jokowi abad asrama ponpes jember
31,2,1.0,demokrasi ala komunis tipu tipu
32,3,2.0, pemuja jokowi ahokdjarot cobal cabul cobal cabul narkoba koruptor saya pansl saya ind mana sila apa diamalin
33,2,1.0,memang betul ada negriku bgini ber koar nyata pancasila bhinekatunggalika pasung
34,0,1.0,senam pagi sama mahasiswa jokowi nyelip baris belakang
35,3,1.0,bohong cebong apa kabar
36,2,1.0, jokower ya bayar brp min jokowi pake spatu juta tidak sebut
37,0,2.0,jokowi janji hapus uji skripsi
38,2,1.0,milu kita henti gaduh tidak pilih bapak jokowi
39,2,1.0,mana berani jokowi
40,2,1.0,pas gubernur ngemengnya pres gampang kalian nunggu ntar pensiun presiden br macet atas
41,3,2.0,tepat raja ngibul
42,0,1.0,akhir pekan presiden jokowi luncur program kuat didik pancasila
43,2,1.0,mari kita bongkar siapa jati diri jokowi benar
44,1,2.0,waktu reshuffle hanya tuhan jokowi tahu
45,0,2.0,jokowi minta masyarakat tidak ribut patung
46,2,1.0,mari sadar rakyat sang dusta
47,0,1.0,moga pakdhe selalu sehat
48,0,1.0,analisa ilmiah psikologi gibran jokowi vs agussylvi yudhoyono
49,0,1.0,presiden jokowi hadir tengah festival musik wtf
50,0,1.0,tampik acara musik pakde jokowi kembali tunjuk sakti
51,3,1.0,nama jongos china
52,2,1.0, sudau hubung cukong tiongkok jokowi lemah tidak daya fix kasus lain
53,0,1.0,banyak anak sekolah keluh akibat pulang sore
54,0,1.0,ketika jokowi luluh berik sepeda tanpa tanya
55,0,2.0,makan indomie pake nasi adalah tiap warga negara bapak jokowi harus jamin
56,2,1.0,bil khusus jokowi makan ikan oon
57,0,1.0,buka simposium presiden jokowi ingat masa pimpin solo
58,0,1.0,presiden jokowi perintah kepala daerah siap bank tanah
59,1,2.0,tidak gaya orang president rakyat karakter jiwa lbh baek sang mantan jokowi dua periode
60,2,1.0,ckckck neger gadai
61,0,1.0,jokowi ase cipta stabilitas ekonomi
62,0,1.0,istana ungkap gemar jokowi makan ikan
63,2,1.0,masyarakat minta jokowi periode masyarakat mau
64,2,1.0,akun bayar nasi kucing bungkus gratis pro jokowi giring opini masyarakat
65,2,1.0,jokowi capres boneka
66,2,1.0,joko widodo nyepelein masalah jamin sehat buruh
67,2,1.0,ngerasa tidak dosa ingkar janji dki jokowi kena kritik
68,3,1.0,indonesia harus merdeka dajal pki jokowi serta janda bau tanah milu datang
69,3,2.0,amit amit ngakunya bela islam junjung cabul masih puja puja kayak tuhan
70,2,1.0,selesai lrt nyata pake dana haji klau lrt pasti lebih banyak manfaatx aseng umat lain bukan umat islam
71,2,1.0,bapak apakah bapak percaya sekolah neger ajar karakter pancasila islam ramah in thisera
72,3,2.0, lebih gila ya zholimi umat islam mau ngembat dana haji sementara hasil rampok cina garong blbi tidak kejar hayoo om
73,3,2.0,saya enek lihat laku aparar tutup mata kecebong main ciduk dukung islam
74,2,1.0,hina jokowi langsung tangkap sementara ancam bunuh bebas lenggang
75,2,1.0, umat islam buat tidak milih jokowi
76,2,1.0, orang orang islam buat kaga milih jokowi
77,2,1.0,foto agussylvi anak sby sama anak jokowi mana tata krama mana ndeso
78,2,1.0,lama pemerintahan jokowi umat islam rasa tekan siar batas demo ijin sulit waktu tentu
79,2,1.0,kita kaya ngarep banget dana haji umat islam dihutang sm rezim jokowi
80,0,1.0,pakai sarung jokowi resmi bangun masjid pondok putri ponpes nurul islam
81,2,1.0,bapak jokowi bukan hanya diktator namun otoriter makin kesan represif anti islam bijak
82,2,1.0,proyek citra pilpres sangat tidak pantas ngembat dana haji umat islam lama dizholimi
83,2,1.0,benar islam negara banyak seperti buih lautan apalagi tidak paham agama
84,2,1.0,smnjk negara pimpin umat islam tidak kasih ruang gerak suai janji tim buzersnya pilpres yl
85,2,1.0, dukung musuh saat bukan teroris umat islam pribumi seberang
