,actual,prediction,teks
0,0,1,jokowi palestina tekan statement kita keras
1,0,1,izin properti hitung jam jokowi urus izin hari sudah kuno
2,0,1,mensos khofifah tokoh politik wanita sukses era pemerintahan jokowi jk
3,1,0,konon tidak boleh cacimaki pemimpin presiden pemimpin oke anggap sj pemimpin boleh doain ya doain bapak segera ganti baik
4,1,0,bapak jokowi presiden paling ringan tugas cuma wara wiri sana kemari hadirin bagai acara
5,0,1,patung lilin jokowi hongkong kini kena kemeja batik
6,0,1,nyata jokowi kena utang imf salah
7,1,0,kerja menko jam jokowi berat ngurusin kerja presiden sementara presiden jalan bagi sepeda
8,1,0,ekonomi dki turun era jokowi dki harus tanpa ahokdjarot
9,0,1,soal kocok ulang kabinet indikator perlu hati jokowi
10,1,0,apakah jokowi khianat warga nahdatul ulama
11,1,0,gara jokowi dukung
12,0,1,jokowi bangga prestasi bocah tahun hafidz al qur an tingkat dunia poskota news
13,1,0,rakyat kecewa presiden patung komen jokowi minta masyarakat tidak ribut patung
14,0,1,hidup bapak maju indonesia
15,0,1,asli gaya bapak
16,1,0,bapak moga berik solusi
17,0,1,sumbawanesia jokowi susur trans papua menteri sus jajal motor trail jalan sumbawa
18,0,1,najwa shihab tanggap isu diri menteri jokowi
19,0,1,dol kurnia dkk minta jokowi turun tang bersih citra golkar
20,0,1,sekolah tidak harus terap full day school jokowi sila sekolah sudah terap program
21,1,0,tahun jajah belanda thn jajah jepang tahun merdeka hampir tahun jokowi nyaris memporakporandakannya
22,0,1,nama ibu jokowi abad asrama ponpes jember
23,0,1,megawati orang sebut jokowi diktator harus bukti kompas tv
24,0,1,gigih bapak jokowi bangun infrastruktur mana takjub meski ekonomi dunia sedang tidak mudah p
25,1,0,silatnas tahun sekaligus kembali tegas dukung kepada jokowi maju pilpres
26,0,1,senam pagi sama mahasiswa jokowi nyelip baris belakang
27,0,1, jokower ya bayar brp min jokowi pake spatu juta tidak sebut
28,0,1,reshuffle jilid timses jokowi
29,0,1,jokowi janji hapus uji skripsi
30,1,0, pikir hati masih sehat jangan pilih jokowi
31,1,0,pas gubernur ngemengnya pres gampang kalian nunggu ntar pensiun presiden br macet atas
32,0,1,waktu reshuffle hanya tuhan jokowi tahu
33,0,1,jokowi minta masyarakat tidak ribut patung
34,0,1,moga pakdhe selalu sehat
35,0,1,analisa ilmiah psikologi gibran jokowi vs agussylvi yudhoyono
36,0,1,tampik acara musik pakde jokowi kembali tunjuk sakti
37,0,1,banyak anak sekolah keluh akibat pulang sore
38,0,1,ketika jokowi luluh berik sepeda tanpa tanya
39,0,1,makan indomie pake nasi adalah tiap warga negara bapak jokowi harus jamin
40,1,0,bil khusus jokowi makan ikan oon
41,0,1,buka simposium presiden jokowi ingat masa pimpin solo
42,0,1,jokowi hebat gubernur sulsel
43,0,1,tidak gaya orang president rakyat karakter jiwa lbh baek sang mantan jokowi dua periode
44,0,1,jokowi ase cipta stabilitas ekonomi
45,0,1,istana ungkap gemar jokowi makan ikan
46,0,1,teriak jokowi dua periode gema mayor
47,0,1, hadap relawan jokowi tidak respons soal dukung maju pilpres
48,1,0,sudah undang undang langgar jokowi bidang ekonomi oleh salamudin daeng anggar
49,1,0,masyarakat minta jokowi periode masyarakat mau
50,0,1,haru tahun merdeka baru presiden jokowi duli rakyat papua
51,0,1,presiden jokowi stop cela jangan bicara hoax ribut soal patung
52,0,1,undang undang tentang selenggara pemilihan umum atau milu berlaku otomatis meski belum teken oleh presiden jokowi
53,1,0,indonesia harus merdeka dajal pki jokowi serta janda bau tanah milu datang
54,0,1,pakai sarung jokowi resmi bangun masjid pondok putri ponpes nurul islam
55,0,1,ini puisi jokowi santriwati ponpes nurul islam
